['Time', '0: 1870-08-25', '1: 1883-02-13', '2: 1821-09-30', '3: 1836-07-07', '4: 1836-11-24', '5: 1848-01-09', '6: 1865-04-10', '7: 1866-01-25', '8: 1867-02-17', '9: 1869-06-06', 'Count']
['1813-05-21 23:30:32', "(H7,127.068,(r)) (Mean_Node,156.849,(cr)) (30-semisextile,13')", "(Moon,314.136,(r)) (Moon,134.173,(dp)) (opposition,2')\n(Mean_Node,134.351,(r)) (Moon,134.173,(dp)) (conjunction,11')\n(H1,307.068,(r)) (Mars,127.230,(dr)) (opposition,10')\n(H8,187.198,(r)) (Mars,127.230,(dr)) (sextile,2')", '2', "(H5,84.371,(r)) (Mean_Node,219.213,(cp)) (135-sesquisquare,10')\n(H5,84.371,(r)) (Mean_Node,219.226,(cr)) (135-sesquisquare,9')\n(H10,246.107,(r)) (Uranus,126.091,(cp)) (trine,1')\n(H10,246.107,(r)) (Uranus,126.083,(cr)) (trine,1')", "(Mars,303.814,(r)) (Moon,123.344,(dr)) (opposition,28')\n(Jupiter,123.664,(r)) (Moon,123.344,(dr)) (conjunction,19')\n(H7,127.068,(r)) (Mercury,82.126,(dp)) (45-semisquare,3')\n(H5,84.371,(r)) (Mean_Node,219.193,(cp)) (135-sesquisquare,11')\n(H5,84.371,(r)) (Mean_Node,219.247,(cr)) (135-sesquisquare,7')\n(H10,246.107,(r)) (Uranus,126.104,(cp)) (trine,0')\n(H10,246.107,(r)) (Uranus,126.070,(cr)) (trine,2')", "(H1,307.068,(r)) (Venus,97.198,(dr)) (150-quincunx,8')\n(H8,187.198,(r)) (Venus,97.198,(dr)) (square,0')", "(Uranus,235.750,(r)) (Moon,235.357,(dr)) (conjunction,24')\n(H4,66.107,(r)) (Moon,36.345,(cp)) (30-semisextile,14')\n(H5,84.371,(r)) (Mercury,54.571,(cp)) (30-semisextile,12')", "(H5,84.371,(r)) (Saturn,204.555,(dp)) (trine,11')\n(H5,84.371,(r)) (Mars,54.334,(cr)) (30-semisextile,2')", "(Mercury,35.396,(r)) (Moon,155.256,(dr)) (trine,8')\n(H1,307.068,(r)) (Mercury,36.859,(dr)) (square,13')\n(H1,307.068,(r)) (Venus,82.000,(dr)) (135-sesquisquare,4')\n(H1,307.068,(r)) (Venus,37.166,(cp)) (square,6')\n(H4,66.107,(r)) (Mercury,36.203,(cp)) (30-semisextile,6')", "(Moon,314.136,(r)) (Moon,88.984,(cp)) (135-sesquisquare,9')\n(H5,84.371,(r)) (Venus,54.370,(cp)) (30-semisextile,0')\n(H5,84.371,(r)) (Venus,54.268,(cr)) (30-semisextile,6')", 31]
['1813-05-22 05:54:00', "(H7,281.354,(r)) (Moon,341.510,(dp)) (sextile,9')\n(H5,193.712,(r)) (Venus,103.872,(cr)) (square,10')", "(Moon,317.540,(r)) (Moon,137.363,(dp)) (opposition,11')\n(Neptune,254.569,(r)) (Moon,119.671,(dr)) (135-sesquisquare,6')\n(H10,338.735,(r)) (Moon,158.276,(cr)) (opposition,28')", "(Pluto,350.508,(r)) (Moon,305.775,(dp)) (45-semisquare,16')\n(H8,296.783,(r)) (Moon,296.278,(dr)) (conjunction,30')\n(Sun,60.687,(r)) (Moon,330.765,(cr)) (square,5')\n(H8,296.783,(r)) (Neptune,236.656,(cp)) (sextile,8')\n(H8,296.783,(r)) (Neptune,236.676,(cr)) (sextile,6')", "(Mean_Node,134.337,(r)) (Moon,134.216,(dp)) (conjunction,7')\n(H7,281.354,(r)) (Moon,131.128,(dr)) (150-quincunx,14')", '4', "(Pluto,350.508,(r)) (Moon,125.777,(cr)) (135-sesquisquare,16')\n(H8,296.783,(r)) (Mean_Node,71.924,(cp)) (135-sesquisquare,8')\n(H8,296.783,(r)) (Mean_Node,71.991,(cr)) (135-sesquisquare,12')", "(H5,193.712,(r)) (Moon,238.960,(dr)) (45-semisquare,15')", "(Saturn,288.918,(r)) (Moon,19.160,(dr)) (square,15')\n(H4,158.735,(r)) (Moon,39.031,(dp)) (trine,18')\n(Venus,59.827,(r)) (Moon,269.793,(cp)) (150-quincunx,2')\n(H5,193.712,(r)) (Moon,253.664,(cr)) (sextile,3')", "(H4,158.735,(r)) (Moon,158.610,(dr)) (conjunction,7')\n(H5,193.712,(r)) (Mars,13.773,(dr)) (opposition,4')\n(Mercury,35.695,(r)) (Moon,125.639,(cr)) (square,3')\n(Uranus,235.738,(r)) (Moon,145.461,(cp)) (square,17')\n(Pluto,350.508,(r)) (Moon,125.639,(cr)) (135-sesquisquare,8')\n(H1,101.354,(r)) (Jupiter,326.375,(cp)) (135-sesquisquare,1')\n(H1,101.354,(r)) (Jupiter,326.257,(cr)) (135-sesquisquare,6')\n(H5,193.712,(r)) (Mars,163.814,(cp)) (30-semisextile,6')", "(Pluto,350.508,(r)) (Moon,200.281,(dr)) (150-quincunx,14')\n(H1,101.354,(r)) (Mean_Node,131.196,(dp)) (30-semisextile,9')\n(H1,101.354,(r)) (Mean_Node,131.201,(dr)) (30-semisextile,9')", 31]
['1813-05-21 23:54:24', '0', "(Moon,314.347,(r)) (Moon,134.372,(dp)) (opposition,1')\n(Neptune,254.576,(r)) (Moon,134.372,(dp)) (trine,12')\n(Mean_Node,134.350,(r)) (Moon,134.372,(dp)) (conjunction,1')\n(H10,251.730,(r)) (Moon,116.593,(dr)) (135-sesquisquare,8')\n(H8,197.238,(r)) (Pluto,227.426,(cp)) (30-semisextile,11')\n(H8,197.238,(r)) (Pluto,227.466,(cr)) (30-semisextile,14')", "(H1,317.192,(r)) (Uranus,272.339,(dp)) (45-semisquare,9')\n(H1,317.192,(r)) (Uranus,272.363,(dr)) (45-semisquare,10')\n(H1,317.192,(r)) (Uranus,197.312,(cp)) (trine,7')\n(H1,317.192,(r)) (Uranus,197.331,(cr)) (trine,8')\n(H8,197.238,(r)) (Uranus,197.312,(cp)) (conjunction,4')\n(H8,197.238,(r)) (Uranus,197.331,(cr)) (conjunction,6')", "(H10,251.730,(r)) (Mars,26.759,(dp)) (135-sesquisquare,2')\n(H10,251.730,(r)) (Mars,26.567,(dr)) (135-sesquisquare,10')", "(Mars,303.820,(r)) (Moon,123.544,(dr)) (opposition,17')\n(Jupiter,123.666,(r)) (Moon,123.544,(dr)) (conjunction,7')\n(Venus,59.520,(r)) (Moon,149.309,(cp)) (square,13')", "(Sun,60.447,(r)) (Moon,150.243,(dr)) (square,12')\n(H4,71.730,(r)) (Mars,341.938,(dr)) (square,12')\n(Pluto,350.505,(r)) (Moon,140.302,(cp)) (150-quincunx,12')\n(H4,71.730,(r)) (Mean_Node,71.937,(cp)) (conjunction,12')", "(Uranus,235.749,(r)) (Moon,235.581,(dr)) (conjunction,10')\n(H4,71.730,(r)) (Uranus,11.838,(cp)) (sextile,7')\n(H4,71.730,(r)) (Uranus,11.763,(cr)) (sextile,2')", "(Pluto,350.505,(r)) (Moon,35.388,(dp)) (45-semisquare,7')", "(Mercury,35.414,(r)) (Moon,155.466,(dr)) (trine,3')\n(H1,317.192,(r)) (Uranus,92.141,(dp)) (135-sesquisquare,3')\n(H1,317.192,(r)) (Uranus,92.062,(dr)) (135-sesquisquare,8')", "(H5,89.808,(r)) (Mars,149.922,(dp)) (sextile,7')\n(H5,89.808,(r)) (Mars,149.886,(dr)) (sextile,5')\n(Moon,314.347,(r)) (Moon,89.183,(cp)) (135-sesquisquare,10')\n(Mean_Node,134.350,(r)) (Moon,89.183,(cp)) (45-semisquare,10')\n(H4,71.730,(r)) (Jupiter,221.709,(cp)) (150-quincunx,1')\n(H4,71.730,(r)) (Jupiter,221.719,(cr)) (150-quincunx,1')", 34]
['1813-05-22 10:10:07', "(H10,47.032,(r)) (Venus,16.855,(dp)) (30-semisextile,11')\n(Sun,60.858,(r)) (Moon,330.579,(cp)) (square,17')", "(Moon,319.826,(r)) (Moon,139.489,(dp)) (opposition,20')\n(H8,347.651,(r)) (Saturn,47.712,(dr)) (sextile,4')\n(H10,47.032,(r)) (Neptune,46.892,(dp)) (conjunction,8')\n(H10,47.032,(r)) (Neptune,46.839,(dr)) (conjunction,12')\n(Sun,60.858,(r)) (Moon,180.811,(cp)) (trine,3')\n(H8,347.651,(r)) (Pluto,227.454,(cr)) (trine,12')", "(H8,347.651,(r)) (Mars,32.650,(dr)) (45-semisquare,0')", "(Venus,60.046,(r)) (Moon,149.985,(cp)) (square,4')\n(H7,328.022,(r)) (Mars,148.100,(cp)) (opposition,5')\n(H7,328.022,(r)) (Mars,147.988,(cr)) (opposition,2')", "(H10,47.032,(r)) (Venus,106.907,(dp)) (sextile,8')\n(H7,328.022,(r)) (Mars,147.816,(cr)) (opposition,12')", "(Pluto,350.510,(r)) (Moon,170.350,(dp)) (opposition,10')", "(Sun,60.858,(r)) (Moon,241.378,(dr)) (opposition,31')\n(Uranus,235.731,(r)) (Moon,265.819,(dp)) (30-semisextile,5')\n(H4,227.032,(r)) (Venus,47.207,(dp)) (opposition,11')\n(H5,265.353,(r)) (Moon,265.819,(dp)) (conjunction,28')\n(H5,265.353,(r)) (Mars,355.359,(dr)) (square,0')\n(H5,265.353,(r)) (Mercury,55.519,(cp)) (150-quincunx,10')", "(H5,265.353,(r)) (Venus,40.330,(dr)) (135-sesquisquare,1')\n(H7,328.022,(r)) (Uranus,87.967,(dp)) (trine,3')\n(H7,328.022,(r)) (Uranus,87.893,(dr)) (trine,8')\n(H4,227.032,(r)) (Moon,271.894,(cp)) (45-semisquare,8')", "(H4,227.032,(r)) (Uranus,92.164,(dp)) (135-sesquisquare,8')\n(H4,227.032,(r)) (Uranus,92.085,(dr)) (135-sesquisquare,3')\n(H1,148.022,(r)) (Moon,147.775,(cp)) (conjunction,15')", "(H4,227.032,(r)) (Pluto,46.864,(dp)) (opposition,10')\n(H4,227.032,(r)) (Pluto,46.862,(dr)) (opposition,10')\n(H5,265.353,(r)) (Mars,25.150,(cp)) (trine,12')", 31]
['1813-05-21 23:51:44', "(H7,135.992,(r)) (Mars,45.976,(dp)) (square,1')\n(H7,135.992,(r)) (Venus,15.851,(dr)) (trine,8')", "(Moon,314.324,(r)) (Moon,134.350,(dp)) (opposition,2')\n(Neptune,254.576,(r)) (Moon,134.350,(dp)) (trine,14')\n(Mean_Node,134.351,(r)) (Moon,134.350,(dp)) (conjunction,0')", '2', "(H7,135.992,(r)) (Venus,106.156,(dp)) (30-semisextile,10')\n(H7,135.992,(r)) (Venus,105.920,(dr)) (30-semisextile,4')\n(H10,251.105,(r)) (Moon,131.166,(dp)) (trine,4')", "(Mars,303.820,(r)) (Moon,123.521,(dr)) (opposition,18')\n(Jupiter,123.666,(r)) (Moon,123.521,(dr)) (conjunction,9')\n(H7,135.992,(r)) (Moon,135.901,(dp)) (conjunction,5')\n(H10,251.105,(r)) (Mars,26.282,(dr)) (135-sesquisquare,11')\n(Venus,59.518,(r)) (Moon,149.284,(cp)) (square,14')\n(H5,89.196,(r)) (Moon,149.284,(cp)) (sextile,5')", "(Sun,60.445,(r)) (Moon,150.221,(dr)) (square,13')\n(H4,71.105,(r)) (Pluto,26.232,(dp)) (45-semisquare,8')\n(H4,71.105,(r)) (Pluto,26.207,(dr)) (45-semisquare,6')\n(Pluto,350.505,(r)) (Moon,140.276,(cp)) (150-quincunx,14')", "(Uranus,235.749,(r)) (Moon,235.556,(dr)) (conjunction,12')\n(H1,315.992,(r)) (Pluto,271.165,(cp)) (45-semisquare,10')\n(H1,315.992,(r)) (Pluto,271.202,(cr)) (45-semisquare,13')", "(Pluto,350.505,(r)) (Moon,35.361,(dp)) (45-semisquare,9')\n(H5,89.196,(r)) (Mars,119.149,(dp)) (30-semisextile,3')\n(H4,71.105,(r)) (Moon,250.649,(cr)) (opposition,27')\n(H5,89.196,(r)) (Pluto,268.999,(cp)) (opposition,12')\n(H5,89.196,(r)) (Pluto,269.028,(cr)) (opposition,10')", "(Mercury,35.412,(r)) (Moon,155.442,(dr)) (trine,2')\n(H5,89.196,(r)) (Pluto,44.103,(dp)) (45-semisquare,6')\n(H5,89.196,(r)) (Pluto,44.071,(dr)) (45-semisquare,7')", "(H4,71.105,(r)) (Mean_Node,131.210,(dp)) (sextile,6')\n(H4,71.105,(r)) (Mean_Node,131.214,(dr)) (sextile,7')\n(Moon,314.324,(r)) (Moon,89.160,(cp)) (135-sesquisquare,10')\n(Mean_Node,134.351,(r)) (Moon,89.160,(cp)) (45-semisquare,11')\n(H5,89.196,(r)) (Moon,89.160,(cp)) (conjunction,2')", 34]
['1813-05-22 02:35:28', "(Jupiter,123.683,(r)) (Moon,333.461,(dr)) (150-quincunx,13')\n(H7,224.225,(r)) (Venus,104.276,(cp)) (trine,3')\n(H10,289.009,(r)) (Uranus,348.798,(cp)) (sextile,13')\n(H10,289.009,(r)) (Uranus,348.785,(cr)) (sextile,13')", "(Moon,315.775,(r)) (Moon,135.713,(dp)) (opposition,4')\n(H1,44.225,(r)) (Uranus,164.419,(dp)) (trine,12')\n(H1,44.225,(r)) (Uranus,164.419,(dr)) (trine,12')\n(H8,252.017,(r)) (Saturn,162.099,(cp)) (square,5')\n(H8,252.017,(r)) (Saturn,162.082,(cr)) (square,4')", "(Mars,303.864,(r)) (Moon,303.949,(dp)) (conjunction,5')\n(H10,289.009,(r)) (Mean_Node,289.068,(cp)) (conjunction,4')\n(H10,289.009,(r)) (Mean_Node,289.107,(cr)) (conjunction,6')", "(Uranus,235.744,(r)) (Moon,145.625,(cp)) (square,7')\n(H7,224.225,(r)) (Venus,14.414,(cr)) (150-quincunx,11')", "(H7,224.225,(r)) (Venus,14.061,(cr)) (150-quincunx,10')", "(H8,252.017,(r)) (Saturn,342.106,(dp)) (square,5')\n(H8,252.017,(r)) (Mars,342.017,(dr)) (square,0')\n(H8,252.017,(r)) (Saturn,342.040,(dr)) (square,1')\n(Mars,303.864,(r)) (Moon,123.787,(cr)) (opposition,5')\n(H8,252.017,(r)) (Mean_Node,71.931,(cp)) (opposition,5')\n(H8,252.017,(r)) (Mean_Node,71.998,(cr)) (opposition,1')", "(H5,130.528,(r)) (Mean_Node,40.730,(cp)) (square,12')", "(H5,130.528,(r)) (Venus,40.425,(dr)) (square,6')\n(H7,224.225,(r)) (Pluto,268.997,(cp)) (45-semisquare,14')\n(H7,224.225,(r)) (Pluto,269.026,(cr)) (45-semisquare,12')\n(H8,252.017,(r)) (Moon,252.013,(cr)) (conjunction,0')", "(H1,44.225,(r)) (Pluto,44.106,(dp)) (conjunction,7')\n(H1,44.225,(r)) (Pluto,44.074,(dr)) (conjunction,9')\n(Mars,303.864,(r)) (Moon,123.743,(cr)) (opposition,7')\n(Jupiter,123.683,(r)) (Moon,123.743,(cr)) (conjunction,4')", "(Sun,60.555,(r)) (Moon,90.522,(cp)) (30-semisextile,2')\n(Moon,315.775,(r)) (Moon,90.522,(cp)) (135-sesquisquare,15')\n(Venus,59.658,(r)) (Moon,89.534,(cr)) (30-semisextile,7')\n(Mean_Node,134.345,(r)) (Moon,89.534,(cr)) (45-semisquare,11')", 34]
['1813-05-22 12:56:23', '0', "(Moon,321.316,(r)) (Moon,140.867,(dp)) (opposition,27')\n(H8,20.957,(r)) (Moon,140.867,(dp)) (trine,5')", "(H10,86.552,(r)) (Neptune,236.649,(cp)) (150-quincunx,6')\n(H10,86.552,(r)) (Neptune,236.668,(cr)) (150-quincunx,7')", "(Mean_Node,134.322,(r)) (Moon,134.706,(dr)) (conjunction,23')\n(H7,357.344,(r)) (Mars,27.165,(dp)) (30-semisextile,11')", "(H7,357.344,(r)) (Mars,27.457,(dp)) (30-semisextile,7')\n(H10,86.552,(r)) (Mars,26.692,(dr)) (sextile,8')", '5', "(H1,177.344,(r)) (Moon,267.436,(dp)) (square,6')\n(H1,177.344,(r)) (Pluto,42.276,(dp)) (135-sesquisquare,4')\n(H1,177.344,(r)) (Pluto,42.238,(dr)) (135-sesquisquare,6')\n(H4,266.552,(r)) (Mars,356.757,(dp)) (square,12')\n(H5,302.502,(r)) (Mercury,62.430,(dp)) (trine,4')\n(Pluto,350.511,(r)) (Moon,20.543,(cr)) (30-semisextile,2')\n(H1,177.344,(r)) (Jupiter,27.228,(cr)) (150-quincunx,7')", '7', "(Venus,60.188,(r)) (Moon,180.374,(dp)) (trine,11')\n(H4,266.552,(r)) (Jupiter,326.398,(cp)) (sextile,9')\n(H4,266.552,(r)) (Pluto,266.781,(cp)) (conjunction,14')", "(Uranus,235.726,(r)) (Moon,205.691,(dp)) (30-semisextile,2')\n(H4,266.552,(r)) (Jupiter,221.646,(cp)) (45-semisquare,6')\n(H4,266.552,(r)) (Jupiter,221.656,(cr)) (45-semisquare,6')", 21]
['1813-05-22 16:42:56', "(Mars,304.092,(r)) (Moon,334.153,(cp)) (30-semisextile,4')", "(Neptune,254.557,(r)) (Moon,164.558,(cr)) (square,0')\n(Mean_Node,134.313,(r)) (Moon,164.558,(cr)) (30-semisextile,15')", '2', "(H7,37.288,(r)) (Mercury,82.238,(dr)) (45-semisquare,3')\n(Venus,60.381,(r)) (Moon,150.273,(cr)) (square,6')\n(Jupiter,123.771,(r)) (Moon,153.774,(cp)) (30-semisextile,0')\n(H7,37.288,(r)) (Mercury,82.154,(cp)) (45-semisquare,8')", '4', "(Moon,323.354,(r)) (Moon,173.562,(dp)) (150-quincunx,12')\n(Venus,60.381,(r)) (Moon,150.100,(cp)) (square,17')", "(H5,353.568,(r)) (Uranus,83.736,(dr)) (square,10')", "(Uranus,235.720,(r)) (Moon,25.766,(dr)) (150-quincunx,3')\n(Mars,304.092,(r)) (Moon,259.051,(cr)) (45-semisquare,2')\n(Saturn,288.902,(r)) (Moon,259.051,(cr)) (30-semisextile,9')\n(H5,353.568,(r)) (Venus,83.368,(cr)) (square,12')", "(Mean_Node,134.313,(r)) (Moon,164.232,(dr)) (30-semisextile,5')\n(Sun,61.120,(r)) (Moon,151.300,(cp)) (square,11')", "(H5,353.568,(r)) (Mercury,83.773,(dp)) (square,12')\n(H5,353.568,(r)) (Mercury,83.665,(dr)) (square,6')\n(H1,217.288,(r)) (Moon,97.541,(cp)) (trine,15')\n(H4,320.629,(r)) (Mercury,80.536,(cp)) (trine,6')\n(H4,320.629,(r)) (Mercury,80.411,(cr)) (trine,13')", 21]
['1813-05-22 17:53:36', "(H10,159.154,(r)) (Jupiter,188.950,(cp)) (30-semisextile,12')\n(H10,159.154,(r)) (Jupiter,188.972,(cr)) (30-semisextile,11')", "(Pluto,350.514,(r)) (Moon,125.786,(dr)) (135-sesquisquare,16')\n(H8,80.712,(r)) (Moon,125.786,(dr)) (45-semisquare,4')", '2', "(Sun,61.167,(r)) (Moon,150.957,(cr)) (square,13')\n(H10,159.154,(r)) (Mean_Node,219.172,(cp)) (sextile,1')\n(H10,159.154,(r)) (Mean_Node,219.185,(cr)) (sextile,2')", "(H5,9.911,(r)) (Moon,145.125,(dp)) (135-sesquisquare,13')\n(Uranus,235.718,(r)) (Moon,145.569,(cr)) (square,9')\n(H5,9.911,(r)) (Moon,159.757,(cp)) (150-quincunx,9')\n(H10,159.154,(r)) (Mean_Node,219.152,(cp)) (sextile,0')\n(H10,159.154,(r)) (Mean_Node,219.206,(cr)) (sextile,3')", "(Moon,323.991,(r)) (Moon,174.140,(dp)) (150-quincunx,9')\n(H4,339.154,(r)) (Moon,159.183,(dr)) (opposition,2')", "(Venus,60.442,(r)) (Moon,270.333,(dp)) (150-quincunx,7')", "(H5,9.911,(r)) (Venus,39.892,(dp)) (30-semisextile,1')\n(H5,9.911,(r)) (Neptune,9.904,(dp)) (conjunction,0')\n(H5,9.911,(r)) (Neptune,9.869,(dr)) (conjunction,3')\n(H5,9.911,(r)) (Mars,54.883,(cr)) (45-semisquare,2')\n(H7,49.720,(r)) (Moon,259.636,(cr)) (150-quincunx,5')", "(H4,339.154,(r)) (Mean_Node,189.162,(dp)) (150-quincunx,1')\n(H4,339.154,(r)) (Mean_Node,189.241,(dr)) (150-quincunx,5')\n(H5,9.911,(r)) (Mercury,40.132,(dp)) (30-semisextile,13')", '9', 23]
['1813-05-22 16:39:11', "(Mars,304.091,(r)) (Moon,334.119,(cp)) (30-semisextile,2')\n(H5,352.705,(r)) (Mars,127.838,(cr)) (135-sesquisquare,8')\n(H7,36.634,(r)) (Mean_Node,156.784,(cp)) (trine,9')\n(H7,36.634,(r)) (Mean_Node,156.811,(cr)) (trine,11')", "(H8,65.191,(r)) (Moon,125.157,(dr)) (sextile,2')\n(Neptune,254.557,(r)) (Moon,164.522,(cr)) (square,2')\n(Mean_Node,134.314,(r)) (Moon,164.522,(cr)) (30-semisextile,13')\n(H10,139.675,(r)) (Moon,184.464,(cp)) (45-semisquare,13')", "(H1,216.634,(r)) (Moon,336.443,(cr)) (trine,11')", "(H5,352.705,(r)) (Mercury,82.607,(dp)) (square,6')\n(H10,139.675,(r)) (Moon,139.685,(dp)) (conjunction,1')\n(H10,139.675,(r)) (Mean_Node,49.446,(dp)) (square,14')\n(H10,139.675,(r)) (Mean_Node,49.460,(dr)) (square,13')\n(Venus,60.378,(r)) (Moon,150.237,(cr)) (square,8')\n(Jupiter,123.770,(r)) (Moon,153.738,(cp)) (30-semisextile,2')\n(H7,36.634,(r)) (Mercury,81.783,(cr)) (45-semisquare,9')", "(H7,36.634,(r)) (Mercury,81.667,(dr)) (45-semisquare,2')\n(H10,139.675,(r)) (Mean_Node,49.480,(dr)) (square,12')\n(H5,352.705,(r)) (Mercury,82.695,(cp)) (square,1')", "(Moon,323.320,(r)) (Moon,173.531,(dp)) (150-quincunx,13')", "(Mean_Node,134.314,(r)) (Moon,269.607,(dp)) (135-sesquisquare,18')\n(H5,352.705,(r)) (Moon,22.540,(cr)) (30-semisextile,10')", "(Uranus,235.720,(r)) (Moon,25.728,(dr)) (150-quincunx,1')\n(Mars,304.091,(r)) (Moon,259.020,(cr)) (45-semisquare,4')\n(Saturn,288.902,(r)) (Moon,259.020,(cr)) (30-semisextile,7')\n(H8,65.191,(r)) (Moon,275.082,(cp)) (150-quincunx,7')", "(Mean_Node,134.314,(r)) (Moon,164.200,(dr)) (30-semisextile,7')\n(H5,352.705,(r)) (Mercury,37.880,(dr)) (45-semisquare,10')\n(H5,352.705,(r)) (Venus,82.872,(dr)) (square,10')\n(Sun,61.117,(r)) (Moon,151.267,(cp)) (square,9')\n(H1,216.634,(r)) (Mercury,36.743,(cp)) (opposition,7')\n(H4,319.675,(r)) (Mean_Node,79.467,(cr)) (trine,12')", "(H1,216.634,(r)) (Moon,96.566,(cr)) (trine,4')\n(H5,352.705,(r)) (Uranus,352.656,(cp)) (conjunction,3')\n(H5,352.705,(r)) (Uranus,352.653,(cr)) (conjunction,3')", 35]
