DateTime,count
2000-03-11 09:23:36,10
2000-03-11 09:21:04,9
2000-03-11 10:25:52,8
2000-03-11 10:27:28,8
2000-03-11 10:39:20,7
2000-03-11 15:00:32,7
2000-03-11 11:10:00,7
2000-03-11 16:46:24,6
2000-03-11 17:09:28,6
2000-03-11 02:52:08,6
2000-03-11 09:44:24,6
2000-03-11 10:03:44,6
2000-03-11 10:02:32,6
2000-03-11 13:49:52,5
2000-03-11 13:41:12,5
2000-03-11 17:53:52,5
2000-03-11 11:26:48,5
2000-03-11 07:49:20,5
2000-03-11 04:07:04,5
2000-03-11 13:40:00,5
2000-03-11 16:40:32,5
2000-03-11 02:31:20,5
2000-03-11 12:58:32,4
2000-03-11 07:40:00,4
2000-03-11 16:08:48,4
2000-03-11 13:18:56,4
2000-03-11 08:16:24,4
2000-03-11 15:44:40,4
2000-03-11 02:53:28,4
2000-03-11 16:20:56,4
2000-03-11 07:37:12,4
2000-03-11 08:01:36,4
2000-03-11 08:37:44,4
2000-03-11 15:49:36,3
2000-03-11 02:50:48,3
2000-03-11 15:24:56,3
2000-03-11 04:03:04,3
2000-03-11 15:29:28,3
2000-03-11 06:31:28,3
2000-03-11 15:12:00,3
2000-03-11 12:09:04,3
2000-03-11 06:30:16,3
2000-03-11 06:06:56,3
2000-03-11 15:50:56,3
2000-03-11 04:12:16,3
2000-03-11 08:28:24,3
2000-03-11 02:56:08,2
2000-03-11 02:21:28,2
2000-03-11 03:02:08,1
2000-03-11 03:27:52,1
