mid 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
last 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
before 	1948-11-14 21:13:36.999994 ra: 269.87523747391504 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
mid 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
last 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
before 	1948-11-14 21:13:36.999994 ra: 269.87523747391504 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
mid 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
last 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
before 	1948-11-14 21:13:36.999994 ra: 260.0798135551484 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
mid 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
last 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
before 	1948-11-14 21:13:36.999994 ra: 260.0798135551484 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
mid 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
last 	1948-11-14 21:13:36.999994 md: 112.06333753828741 sa: 55.845053311536596 : oad 260.0798135551484 False 
before 	1948-11-14 21:13:36.999994 ra: 269.87523747391504 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
mid 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
last 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
before 	1948-11-14 21:13:36.999994 ra: 269.87523747391504 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
mid 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
last 	1948-11-14 21:13:36.999994 md: 102.26791361952075 sa: 57.078678039846025 : oad 193.02824580439557 False 
